searchedCategory,productTitle,productLink,productPrice,productRatings,insertDate
ar-condicionado,Ar-condicionado Philco Eco Inverter 12000 Btus Frio 127v,https://produto.mercadolivre.com.br/MLB-4151749638-ar-condicionado-philco-eco-inverter-12000-btus-frio-127v-_JM#position=51&search_layout=stack&type=item&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.699,,2023/11/16 10:29:36
ar-condicionado,Ar Cond Hw Samsung Digital Ultra Inverter 12k Q/f 220v,https://www.mercadolivre.com.br/ar-cond-hw-samsung-digital-ultra-inverter-12k-qf-220v/p/MLB22827606?pdp_filters=category:MLB1646#searchVariation=MLB22827606&position=28&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.769,4.8,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Hi Wall Fontaine 9000 Btu/h Frio  Foft Cor Branco Voltagem 220 Volts,https://www.mercadolivre.com.br/ar-condicionado-split-hi-wall-fontaine-9000-btuh-frio-foft-cor-branco-voltagem-220-volts/p/MLB24295144?pdp_filters=category:MLB1646#searchVariation=MLB24295144&position=29&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$1.798,4.2,2023/11/16 10:29:36
ar-condicionado,Ar Cond Split Hw LG Dual Voice Inverter 18000 Bt Q/f 220v Cor Branco,https://www.mercadolivre.com.br/ar-cond-split-hw-lg-dual-voice-inverter-18000-bt-qf-220v-cor-branco/p/MLB25989315?pdp_filters=category:MLB1646#searchVariation=MLB25989315&position=30&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$4.499,5.0,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Inverter Samsung 18000 Btus Frio 220v,https://www.mercadolivre.com.br/ar-condicionado-split-inverter-samsung-18000-btus-frio-220v/p/MLB22958300?pdp_filters=category:MLB1646#searchVariation=MLB22958300&position=31&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$4.199,4.4,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Philco  split inverter  frio 30000 BTU  branco 220V PAC30000IFM8,https://www.mercadolivre.com.br/ar-condicionado-philco-split-inverter-frio-30000-btu-branco-220v-pac30000ifm8/p/MLB18995392?pdp_filters=category:MLB1646#searchVariation=MLB18995392&position=32&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$6.199,4.8,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Electrolux Inverter Techno  split  frio/quente 12000 BTU  branco 220V QI12R|QE12R,https://www.mercadolivre.com.br/ar-condicionado-electrolux-inverter-techno-split-frioquente-12000-btu-branco-220v-qi12rqe12r/p/MLB14559887?pdp_filters=category:MLB1646#searchVariation=MLB14559887&position=33&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.398,4.3,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Springer  split  frio 36000 BTU  branco 220V 42ZQ_36,https://www.mercadolivre.com.br/ar-condicionado-springer-split-frio-36000-btu-branco-220v-42zq36/p/MLB20894517?pdp_filters=category:MLB1646#searchVariation=MLB20894517&position=34&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$7.689,,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Springer Midea Inv Connect 12.000 Btu F 127v,https://produto.mercadolivre.com.br/MLB-3500826711-ar-condicionado-springer-midea-inv-connect-12000-btu-f-127v-_JM#position=52&search_layout=stack&type=item&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.999,,2023/11/16 10:29:36
ar-condicionado,Ar Cond Inverter Xtremeconnect Springer Midea 12000 Q/f 220v Cor Branco,https://www.mercadolivre.com.br/ar-cond-inverter-xtremeconnect-springer-midea-12000-qf-220v-cor-branco/p/MLB26077886?pdp_filters=category:MLB1646#searchVariation=MLB26077886&position=35&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.699,5.0,2023/11/16 10:29:36
ar-condicionado,Ar Samsung 18000 Btus (1x9000+1x12000) Q/f Inverter 220v,https://www.mercadolivre.com.br/ar-samsung18000-btus-1x90001x12000-qf-inverter-220v/p/MLB26109063?pdp_filters=category:MLB1646#searchVariation=MLB26109063&position=36&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$6.799,,2023/11/16 10:29:36
ar-condicionado,Ar Cond Inverter Windfree Powervolt Samsung 12000frio Bivolt Cor Branco 127v - 220v,https://www.mercadolivre.com.br/ar-cond-inverter-windfree-powervolt-samsung-12000frio-bivolt-cor-branco-127v-220v/p/MLB25989481?pdp_filters=category:MLB1646#searchVariation=MLB25989481&position=37&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.409,4.6,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Hi Wall Springer Midea Airvolution 120 220v,https://www.mercadolivre.com.br/ar-condicionado-split-hi-wall-springer-midea-airvolution-120-220v/p/MLB27720569?pdp_filters=category:MLB1646#searchVariation=MLB27720569&position=38&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.468,,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Split Inverter 9000 Btus Samsung Ultra Frio,https://www.mercadolivre.com.br/ar-condicionado-split-inverter-9000-btus-samsung-ultra-frio/p/MLB26304938?pdp_filters=category:MLB1646#searchVariation=MLB26304938&position=39&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.594,4.7,2023/11/16 10:29:36
ar-condicionado,Ar Cond Split Hw Inverter Liv Agratto 18000 Btus Frio 220v Cor Branco,https://www.mercadolivre.com.br/ar-cond-split-hw-inverter-liv-agratto-18000-btus-frio-220v-cor-branco/p/MLB25989292?pdp_filters=category:MLB1646#searchVariation=MLB25989292&position=40&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.499,4.4,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Philco Split  frio/quente 12000 BTU  branco 220V 12000,https://www.mercadolivre.com.br/ar-condicionado-philco-split-frioquente-12000-btu-branco-220v-12000/p/MLB19614781?pdp_filters=category:MLB1646#searchVariation=MLB19614781&position=41&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.069,4.7,2023/11/16 10:29:36
ar-condicionado,Ar Cond Split Hi Wall LG Dual Inverter Compact 9k F 220v R32 Cor Branco,https://www.mercadolivre.com.br/ar-cond-split-hi-wall-lg-dual-inverter-compact-9k-f-220v-r32-cor-branco/p/MLB27106539?pdp_filters=category:MLB1646#searchVariation=MLB27106539&position=42&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.449,5.0,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Inverter Samsung WindFree™ 22000 BTU Frio Branco 220V AR24AVHABWKXAZ,https://www.mercadolivre.com.br/ar-condicionado-split-inverter-samsung-windfree-22000-btu-frio-branco-220v-ar24avhabwkxaz/p/MLB19851496?pdp_filters=category:MLB1646#searchVariation=MLB19851496&position=43&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$4.799,4.8,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Split Gree Inverter 12000 Btus  Gwh12agc Cor Branco 220v,https://www.mercadolivre.com.br/ar-condicionado-split-gree-inverter-12000-btus-gwh12agc-cor-branco-220v/p/MLB27738686?pdp_filters=category:MLB1646#searchVariation=MLB27738686&position=44&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.698,,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Hi Wall Inverter LG Dual Voice 18000 B 220v,https://www.mercadolivre.com.br/ar-condicionado-split-hi-wall-inverter-lg-dual-voice-18000-b-220v/p/MLB25910000?pdp_filters=category:MLB1646#searchVariation=MLB25910000&position=45&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.788,5.0,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Inverter Electrolux 9.000 Btu/h Frio Q,https://www.mercadolivre.com.br/ar-condicionado-split-inverter-electrolux-9000-btuh-frio-q/p/MLB21408890?pdp_filters=category:MLB1646#searchVariation=MLB21408890&position=46&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.050,,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Philco Split Inverter Eco 9000 Btu Frio 220v,https://www.mercadolivre.com.br/ar-condicionado-philco-split-inverter-eco-9000-btu-frio-220v/p/MLB22827648?pdp_filters=category:MLB1646#searchVariation=MLB22827648&position=47&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.399,,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Gree G-Top  split  frio/quente 9000 BTU  branco 220V GWH09QB-D3NNB4C,https://www.mercadolivre.com.br/ar-condicionado-gree-g-top-split-frioquente-9000-btu-branco-220v-gwh09qb-d3nnb4c/p/MLB19558088?pdp_filters=category:MLB1646#searchVariation=MLB19558088&position=48&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.424,4.8,2023/11/16 10:29:36
